2015-2016 ECE110 Honors Project	Electrical and Computer Engineering Building	3018	Projects from ECE110 Honor's Section	Electrical and Computer Engineering	https://wiki.cites.illinois.edu/wiki/display/ECE110HLSF15/ECE+110+Honors+Lab+Section+Home
TAG-DSP: Follow Me Drone	Electrical and Computer Engineering Building	North Quad	"We're TAG-DSP, a special interest group in Digital Signal Processing in the local IEEE branch. We created software for the Parrot AR drone that allows it to automatically follow you around an environment. It does this by performing facial detection and recognition to identify where you are, and then uses the resulting images to move towards you, following you around. This software was created by mostly freshman working on coding for the first time."	Electrical and Computer Engineering	
Robobrawl	Electrical and Computer Engineering Building	TBA	This exhibit is a combat robotics tournament a la BattleBots.  Competitors fight using 30 pound robots in a 16' x 16' arena.  Tournament runs 9AM - 3PM both Friday and Saturday pending delays.	Electrical and Computer Engineering	
Cast21	Electrical and Computer Engineering Building	1st Floor South Hall	"We will be exhibiting an innovative orthopedic cast developed by an interdisciplinary team of UIUC engineering undergraduates.  The cast uses a unique lattice structure to adapt to shape of the patient's limb, while exposing the majority of the skin to the air and facilitating easy cleaning.  The cast is also paired with removable electrical add-ons.  A vibration therapy (VT) add-on uses low-amplitude vibration to speed up bone healing.  An electrical muscle stimulation (EMS) add-on prevents muscle atrophy during immobilization.  Our exhibit will include our full prototype, as well as interactive demos of the VT and EMS add-ons."	Bioengineering	http://cast21.com/
Interactive Music Player	Electrical and Computer Engineering Building	1st Floor South Hall	This project uses a Touch Board microcontroller to allow users to hear different sounds by motioning in front the electric paint interface board.	Electrical and Computer Engineering	wece.ec.illinois.edu
TAG-Circuits	Electrical and Computer Engineering Building	1st Floor South Hall	"This is IEEE's Technical Advancement Group for circuits.  <--->Similar to last year, they will be helping children learn about circuits by soldering small printed circuit boards, designed to light up a small LED based on some interaction. <--->There will also be another part to show off some circuits work. "	Electrical and Computer Engineering	
IEEE - Miscellaneous	Electrical and Computer Engineering Building	1st Floor South Hall	"Some other Technical Advancement Groups or individuals within IEEE might have an exhibit to present. At this time, it is yet to be determined. "	Electrical and Computer Engineering	
Net-Zero Model House by InSPIRE	Electrical and Computer Engineering Building	2nd Floor Atrium	It is a Net-Zero Model House designed to showcase the effectiveness of solar energy as a renewable source.	Materials Science and Engineering	www.inspireuiuc.com
Robot Showcase	Electrical and Computer Engineering Building	2nd Floor Atrium	"A showcase of my personal robotics projects. I will be showing a 24 degree of freedom and an 18 degree of freedom hexapod robot, a humanoid robot, and a 2 wheeled music playing robot. "	Electrical and Computer Engineering	
Project Periscope	Electrical and Computer Engineering Building	2nd Floor Atrium	"Project Periscope is a Virtual Reality based Robotics project that won the ECE Department's Senior Design Area award for Robotics during the Fall of 2015. After our success, we really want to demonstrate what we created."	Electrical and Computer Engineering	https://courses.engr.illinois.edu/ece445/project.asp?id=1496
Raspberry Pi Arcade Machine	Electrical and Computer Engineering Building	2nd Floor Atrium	An arcade game machine created using a Raspberry Pi computer.	Electrical and Computer Engineering	
3-Stage Magnetic Coil Gun	Electrical and Computer Engineering Building	4024/4026	A metal projectile is rapidly accelerated through a clear tube/barrel before exiting to fly through the air. Exhibit includes a description of the successive sensing and triggering that create the optimal magnetic propulsion.	Electrical and Computer Engineering	https://wiki.cites.illinois.edu/wiki/display/ecepg/3-Stage+Magnetic+Coil+Gun
Taking Maximum Power from the Sun	Electrical and Computer Engineering Building	4024/4026	"Exhibit will demonstrate a solar Maximum Power Point Tracker (MPPT) and its role in converting the most amount of sunlight into electricity, even under non-ideal conditions such as partial panel shading."	Electrical and Computer Engineering	https://wiki.cites.illinois.edu/wiki/pages/viewpage.action?pageId=434962519
Wind Energy Basics	Electrical and Computer Engineering Building	4024/4026	"Explore an 8-foot tall, horizontal-axis, wind turbine, and discover the strategies used by engineers to deal with the variable speed/power of the wind. Exhibit demonstrates 3-phase power, variable frequency and voltage, and power-electronic conversion of electrical energy. Poster discusses how wind power can be integrated into the power grid."	Electrical and Computer Engineering	https://wiki.cites.illinois.edu/wiki/pages/editpage.action?pageId=565358654
Bicycle Generator	Electrical and Computer Engineering Building	4024/4026	"In this dynamic, interactive, and highly tangible exhibit, visitors peddle an exercise bike to light up light-bulbs of various types. Exhibit provides an intuitive sense of how much energy it takes to light up lightbulbs and teaches about the importance of using efficient lighting technologies such as CFL's and especially LED bulbs. "	Electrical and Computer Engineering	https://wiki.cites.illinois.edu/wiki/display/ecepg/Exercise+Bike+Generator
Educational Electricity & Magnetism Medley	Electrical and Computer Engineering Building	4024/4026	"Visitors can learn the basics of electricity, magnetism, and the interaction between them with a variety of hands-on exhibits. Explanations about magnetic fields, induced currents, forces, and motion help visitors understand the operation of motors and many of the other Power and Energy exhibits"	Electrical and Computer Engineering	https://wiki.cites.illinois.edu/wiki/pages/viewpage.action?pageId=575340710
Magnetic Ring Cannon	Electrical and Computer Engineering Building	4024/4026	"The magnetic ring cannon is fun application of the fundamental electromagnetic properties learned at other exhibits. A quick burst of electricity creates a magnetic field, the magnetic field induces a current in a metallic ring that creates its own magnetic field, repelling the original magnetic field and flying away to hit a target. Differing ring types demonstrate what properties are more or less advantageous for electromagnetic induction."	Electrical and Computer Engineering	https://wiki.cites.illinois.edu/wiki/display/ecepg/Magnetic+Ring+Cannon
Floating Frying Pan	Electrical and Computer Engineering Building	4024/4026	"Using electromagnetic induction, an aluminum frying pan is levitated above a table made of multiple, concentric coils driven by an inverter. As a byproduct of levitation, the induced currents heat up the pan, teaching about resistive losses, and enabling us to make rice crispy treats."	Electrical and Computer Engineering	https://wiki.cites.illinois.edu/wiki/display/ecepg/Floating+Frying+Pan
Tracking the Sun / Solar Tracking	Electrical and Computer Engineering Building	4024/4026	Experience the benefit of trackers that tilt solar panels toward the sun. Compare a fixed solar cell to a manual tracker to an automated single axis tracker.	Electrical and Computer Engineering	https://wiki.cites.illinois.edu/wiki/display/ecepg/Solar+Tracker
